;From Mike Nolan, edited to remove extra entries and to add header
;wavelength (microns)   flux (W/m2/nm)  smoothing
 1.626   0.24434   0.00733  180.
 1.628   0.24397   0.00732  180.
 1.630   0.24283   0.00728  180.
 1.632   0.24091   0.00723  180.
 1.634   0.23833   0.00715  180.
 1.636   0.23538   0.00706  180.
 1.638   0.23261   0.00698  180.
 1.640   0.23060   0.00692  180.
 1.642   0.22966   0.00689  180.
 1.644   0.22961   0.00689  180.
 1.646   0.22996   0.00690  180.
 1.648   0.23032   0.00691  180.
 1.650   0.23055   0.00692  180.
 1.652   0.23067   0.00692  180.
 1.654   0.23073   0.00692  180.
 1.656   0.23070   0.00692  180.
 1.658   0.23046   0.00691  180.
 1.660   0.22991   0.00690  180.
 1.662   0.22896   0.00687  180.
 1.664   0.22765   0.00683  180.
 1.666   0.22611   0.00678  180.
 1.668   0.22447   0.00673  180.
 1.670   0.22279   0.00668  180.
 1.672   0.22103   0.00663  180.
 1.674   0.21911   0.00657  180.
 1.676   0.21702   0.00651  180.
 1.678   0.21496   0.00645  180.
 1.680   0.21339   0.00640  180.
 1.682   0.21273   0.00638  180.
 1.684   0.21301   0.00639  180.
 1.686   0.21381   0.00641  180.
 1.688   0.21461   0.00644  180.
 1.690   0.21514   0.00645  180.
 1.692   0.21530   0.00646  180.
 1.694   0.21505   0.00645  180.
 1.696   0.21437   0.00643  180.
 1.698   0.21332   0.00640  180.
 1.700   0.21208   0.00636  180.
 1.702   0.21080   0.00632  180.
 1.704   0.20954   0.00629  180.
 1.706   0.20835   0.00625  180.
 1.708   0.20730   0.00622  180.
 1.710   0.20656   0.00620  180.
 1.712   0.20618   0.00619  180.
 1.714   0.20599   0.00618  180.
 1.716   0.20564   0.00617  180.
 1.718   0.20491   0.00615  180.
 1.720   0.20387   0.00612  180.
 1.722   0.20274   0.00608  180.
 1.724   0.20171   0.00605  180.
 1.726   0.20068   0.00602  180.
 1.728   0.19936   0.00598  180.
 1.730   0.19747   0.00592  180.
 1.732   0.19516   0.00585  180.
 1.734   0.19297   0.00579  180.
 1.736   0.19157   0.00575  180.
 1.738   0.19124   0.00574  180.
 1.740   0.19170   0.00575  180.
 1.742   0.19234   0.00577  180.
 1.744   0.19271   0.00578  180.
 1.746   0.19270   0.00578  180.
 1.748   0.19244   0.00577  180.
 1.750   0.19213   0.00576  180.
 1.752   0.19182   0.00575  180.
 1.754   0.19145   0.00574  180.
 1.756   0.19090   0.00573  180.
 1.758   0.19009   0.00570  180.
 1.760   0.18909   0.00567  180.
 1.762   0.18806   0.00564  180.
 1.764   0.18714   0.00561  180.
 1.766   0.18637   0.00559  180.
 1.768   0.18565   0.00557  180.
 1.770   0.18488   0.00555  180.
 1.772   0.18401   0.00552  180.
 1.774   0.18304   0.00549  180.
 1.776   0.18203   0.00546  180.
 1.778   0.18112   0.00543  180.
 1.780   0.18037   0.00541  180.
